date,dash,isPartial
2017-03-05,28.0,False
2017-03-06,47.0,False
2017-03-07,24.0,False
2017-03-08,16.0,False
2017-03-09,91.0,False
2017-03-10,9.0,False
2017-03-11,85.0,False
2017-03-12,82.0,False
2017-03-13,62.0,False
2017-03-14,92.0,False
2017-03-15,93.0,False
2017-03-16,42.0,False
2017-03-17,79.0,False
2017-03-18,67.0,False
2017-03-19,48.0,False
2017-03-20,50.0,False
2017-03-21,58.0,False
2017-03-22,42.0,False
2017-03-23,43.0,False
2017-03-24,43.0,False
2017-03-25,29.0,False
2017-03-26,19.0,False
2017-03-27,33.0,False
2017-03-28,25.0,False
2017-03-29,17.0,False
2017-03-30,25.0,False
2017-03-31,35.0,False
2017-04-01,10.0,False
2017-04-02,39.0,False
2017-04-03,34.0,False
2017-04-04,17.0,False
2017-04-05,8.0,False
2017-04-06,17.0,False
2017-04-07,9.0,False
2017-04-08,10.0,False
2017-04-09,10.0,False
2017-04-10,8.0,False
2017-04-11,9.0,False
2017-04-12,9.0,False
2017-04-13,44.0,False
2017-04-14,29.0,False
2017-04-15,0.0,False
2017-04-16,30.0,False
2017-04-17,9.0,False
2017-04-18,0.0,False
2017-04-19,8.0,False
2017-04-20,34.0,False
2017-04-21,0.0,False
2017-04-22,49.0,False
2017-04-23,9.0,False
2017-04-24,17.0,False
2017-04-25,17.0,False
2017-04-26,25.0,False
2017-04-27,25.0,False
2017-04-28,0.0,False
2017-04-29,30.0,False
2017-04-30,10.0,False
2017-05-01,55.0,False
2017-05-02,16.0,False
2017-05-03,8.0,False
2017-05-04,8.0,False
2017-05-05,61.0,False
2017-05-06,20.0,False
2017-05-07,19.0,False
2017-05-08,42.0,False
2017-05-09,0.0,False
2017-05-10,8.0,False
2017-05-11,9.0,False
2017-05-12,71.0,False
2017-05-13,0.0,False
2017-05-14,29.0,False
2017-05-15,9.0,False
2017-05-16,18.0,False
2017-05-17,18.0,False
2017-05-18,27.0,False
2017-05-19,37.0,False
2017-05-20,32.0,False
2017-05-21,21.0,False
2017-05-22,45.0,False
2017-05-23,35.0,False
2017-05-24,18.0,False
2017-05-25,46.0,False
2017-05-26,29.0,False
2017-05-27,22.0,False
2017-05-28,11.0,False
2017-05-29,19.0,False
2017-05-30,0.0,False
2017-05-31,53.0,False
2017-06-01,27.0,False
2017-06-02,38.0,False
2017-06-03,10.0,False
2017-06-04,41.0,False
2017-06-05,18.0,False
2017-06-06,44.0,False
2017-06-07,26.0,False
2017-06-08,53.0,False
2017-06-09,18.0,False
2017-06-10,85.0,False
2017-06-11,52.0,False
2017-06-12,60.0,False
2017-06-13,17.0,False
2017-06-14,53.0,False
2017-06-15,45.0,False
2017-06-16,56.0,False
2017-06-17,43.0,False
2017-06-18,42.0,False
2017-06-19,44.0,False
2017-06-20,34.0,False
2017-06-21,43.0,False
2017-06-22,26.0,False
2017-06-23,44.0,False
2017-06-24,42.0,False
2017-06-25,52.0,False
2017-06-26,36.0,False
2017-06-27,55.0,False
2017-06-28,56.0,False
2017-06-29,46.0,False
2017-06-30,38.0,False
2017-07-01,0.0,False
2017-07-02,43.0,False
2017-07-03,9.0,False
2017-07-04,85.0,False
2017-07-05,65.0,False
2017-07-06,28.0,False
2017-07-07,38.0,False
2017-07-08,64.0,False
2017-07-09,42.0,False
2017-07-10,27.0,False
2017-07-11,27.0,False
2017-07-12,45.0,False
2017-07-13,9.0,False
2017-07-14,19.0,False
2017-07-15,32.0,False
2017-07-16,11.0,False
2017-07-17,27.0,False
2017-07-18,63.0,False
2017-07-19,37.0,False
2017-07-20,64.0,False
2017-07-21,47.0,False
2017-07-22,32.0,False
2017-07-23,31.0,False
2017-07-24,44.0,False
2017-07-25,72.0,False
2017-07-26,18.0,False
2017-07-27,36.0,False
2017-07-28,0.0,False
2017-07-29,63.0,False
2017-07-30,21.0,False
2017-07-31,44.0,False
2017-08-01,17.0,False
2017-08-02,34.0,False
2017-08-03,35.0,False
2017-08-04,27.0,False
2017-08-05,31.0,False
2017-08-06,72.0,False
2017-08-07,52.0,False
2017-08-08,8.0,False
2017-08-09,43.0,False
2017-08-10,53.0,False
2017-08-11,37.0,False
2017-08-12,80.0,False
2017-08-13,82.0,False
2017-08-14,18.0,False
2017-08-15,36.0,False
2017-08-16,88.0,False
2017-08-17,79.0,False
2017-08-18,55.0,False
2017-08-19,100.0,False
2017-08-20,60.0,False
2017-08-21,35.0,False
2017-08-22,26.0,False
2017-08-23,26.0,False
2017-08-24,44.0,False
2017-08-25,83.0,False
2017-08-26,82.0,False
2017-08-27,30.0,False
2017-08-28,26.0,False
2017-08-29,26.0,False
2017-08-30,61.0,False
2017-08-31,53.0,False
2017-09-01,18.0,False
2017-09-02,11.571428571428573,False
